Tr,Tc,MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s)
2,2,0,N/A,393216,196096,6144.0,0.4964355152300713,6.383333333333334,4.964355152300713,3.95008e-05
2,4,0,N/A,393216,196096,3072.0,0.4964355152300713,12.766666666666667,4.964355152300713,3.95008e-05
2,8,0,N/A,393216,196096,1536.0,0.4964355152300713,25.533333333333335,4.964355152300713,3.95008e-05
2,16,0,N/A,393216,196096,768.0,0.4964355152300713,51.06666666666667,4.964355152300713,3.95008e-05
2,32,0,N/A,393216,196096,384.0,0.4964355152300713,102.13333333333334,4.964355152300713,3.95008e-05
2,64,0,N/A,393216,196096,192.0,0.4964355152300713,204.26666666666668,4.964355152300713,3.95008e-05
4,2,0,N/A,393216,196096,3072.0,0.4964355152300713,12.766666666666667,4.964355152300713,3.95008e-05
4,4,0,N/A,393216,196096,1536.0,0.4964355152300713,25.533333333333335,4.964355152300713,3.95008e-05
4,8,0,N/A,393216,196096,768.0,0.4964355152300713,51.06666666666667,4.964355152300713,3.95008e-05
4,16,0,N/A,393216,196096,384.0,0.4964355152300713,102.13333333333334,4.964355152300713,3.95008e-05
4,32,0,N/A,393216,196096,192.0,0.4964355152300713,204.26666666666668,4.964355152300713,3.95008e-05
4,64,0,N/A,393216,196096,96.0,0.4964355152300713,408.53333333333336,4.964355152300713,3.95008e-05
8,2,0,N/A,393216,196096,1536.0,0.4964355152300713,25.533333333333335,4.964355152300713,3.95008e-05
8,4,0,N/A,393216,196096,768.0,0.4964355152300713,51.06666666666667,4.964355152300713,3.95008e-05
8,8,0,N/A,393216,196096,384.0,0.4964355152300713,102.13333333333334,4.964355152300713,3.95008e-05
8,16,0,N/A,393216,196096,192.0,0.4964355152300713,204.26666666666668,4.964355152300713,3.95008e-05
8,32,0,N/A,393216,196096,96.0,0.4964355152300713,408.53333333333336,4.964355152300713,3.95008e-05
8,64,0,N/A,393216,196096,48.0,0.4964355152300713,817.0666666666667,4.964355152300713,3.95008e-05
16,2,0,N/A,393216,196096,768.0,0.4964355152300713,51.06666666666667,4.964355152300713,3.95008e-05
16,4,0,N/A,393216,196096,384.0,0.4964355152300713,102.13333333333334,4.964355152300713,3.95008e-05
16,8,0,N/A,393216,196096,192.0,0.4964355152300713,204.26666666666668,4.964355152300713,3.95008e-05
16,16,0,N/A,393216,196096,96.0,0.4964355152300713,408.53333333333336,4.964355152300713,3.95008e-05
16,32,0,N/A,393216,196096,48.0,0.4964355152300713,817.0666666666667,4.964355152300713,3.95008e-05
16,64,0,N/A,393216,196096,24.0,0.4964355152300713,1634.1333333333334,4.964355152300713,3.95008e-05
32,2,0,N/A,393216,196096,384.0,0.4964355152300713,102.13333333333334,4.964355152300713,3.95008e-05
32,4,0,N/A,393216,196096,192.0,0.4964355152300713,204.26666666666668,4.964355152300713,3.95008e-05
32,8,0,N/A,393216,196096,96.0,0.4964355152300713,408.53333333333336,4.964355152300713,3.95008e-05
32,16,0,N/A,393216,196096,48.0,0.4964355152300713,817.0666666666667,4.964355152300713,3.95008e-05
32,32,0,N/A,393216,196096,24.0,0.4964355152300713,1634.1333333333334,4.964355152300713,3.95008e-05
32,64,0,N/A,393216,196096,12.0,0.4964355152300713,3268.266666666667,4.964355152300713,3.95008e-05
64,2,0,N/A,393216,196096,192.0,0.4964355152300713,204.26666666666668,4.964355152300713,3.95008e-05
64,4,0,N/A,393216,196096,96.0,0.4964355152300713,408.53333333333336,4.964355152300713,3.95008e-05
64,8,0,N/A,393216,196096,48.0,0.4964355152300713,817.0666666666667,4.964355152300713,3.95008e-05
64,16,0,N/A,393216,196096,24.0,0.4964355152300713,1634.1333333333334,4.964355152300713,3.95008e-05
64,32,0,N/A,393216,196096,12.0,0.4964355152300713,3268.266666666667,4.964355152300713,3.95008e-05
64,64,0,N/A,393216,196096,6.0,0.4964355152300713,6536.533333333334,4.964355152300713,3.95008e-05
