Weight Word Length,Activation Word Length,Rank,Quant SVD Perplexity,Iterative Quant SVD Perplexity,Compression Ratio
8,8,32,608121.234238548,599294.1379303704,128.0
8,8,64,1202880.7170998969,1130237.889468565,64.0
8,8,96,647199.7085468479,665715.0596786943,42.666666666666664
8,8,128,330131.6457459459,322028.69486980815,32.0
8,8,256,349246.6175667701,369118.2940695914,16.0
8,8,320,366549.7917211322,337277.5757329359,12.8
8,8,384,450142.59046757413,427115.76650358207,10.666666666666666
8,8,448,783644.3698598717,763529.2772143434,9.142857142857142
8,8,512,1730447.5767339994,1685209.4831768565,8.0
8,8,576,2898620.4747040984,2908417.227585694,7.111111111111111
8,8,640,192006.6163310301,200878.95703121266,6.4
8,8,704,4067.1063909282525,4090.1527087773798,5.818181818181818
8,8,768,443.7577209353544,489.5976666225837,5.333333333333333
8,8,832,127.72015669330962,143.54027773265062,4.923076923076923
8,8,896,48.456973968246054,52.23128069402153,4.571428571428571
8,8,960,30.177816901588443,31.8286847071906,4.266666666666667
8,8,1024,21.182284538678307,22.22288508788033,4.0
