Weight Word Length,Activation Word Length,Wiki Perplexity,PTB Perplexity,Compression Ratio
4,6,576.6824096693966,370.70291806787174,8.0
6,6,138.52790123105257,108.33449096190536,5.333333333333333
8,6,108.51037379446264,89.69475343511867,4.0
10,6,115.6180748879513,92.20967110126927,3.2
12,6,115.66621426495276,91.9347478970825,2.6666666666666665
14,6,114.41076886803835,92.19823987053557,2.2857142857142856
16,6,113.92750493911903,92.51602724035988,2.0
4,8,306.0090548990658,225.95066888296756,8.0
6,8,14.359301996330164,20.554479926172736,5.333333333333333
8,8,13.729419370775636,19.45970428323287,4.0
10,8,13.71726753479681,19.45052940692291,3.2
12,8,13.713771867701322,19.41116558048402,2.6666666666666665
14,8,13.719314990182584,19.447895560479292,2.2857142857142856
16,8,13.716691947420673,19.423628108357725,2.0
4,16,294.05276160939917,217.83014976196054,8.0
6,16,13.221059186648631,18.81210331152717,5.333333333333333
8,16,12.939755620473607,18.27152379233781,4.0
10,16,12.927251673882147,18.232981011592354,3.2
12,16,12.925713798974208,18.231620425873647,2.6666666666666665
14,16,12.925797005960602,18.231037969734967,2.2857142857142856
16,16,12.925870968175952,18.231029276500703,2.0
