Iteration,Rank Array,BLEU Score
0,"[288, 288, 282, 288, 288, 288]",39.931547204704785
1,"[288, 288, 282, 288, 288, 282]",40.455366125939484
2,"[282, 288, 282, 288, 288, 282]",40.3450179486974
3,"[276, 288, 282, 288, 288, 282]",40.58552491704255
4,"[270, 288, 282, 288, 288, 282]",40.51479458828238
5,"[270, 288, 276, 288, 288, 282]",40.52280245724281
6,"[264, 288, 276, 288, 288, 282]",40.51964561085004
7,"[258, 288, 276, 288, 288, 282]",40.37265568908997
8,"[258, 282, 276, 288, 288, 282]",40.323644515325256
9,"[258, 282, 276, 282, 288, 282]",40.30987721193814
10,"[252, 282, 276, 282, 288, 282]",40.239797491843454
11,"[252, 282, 276, 282, 282, 282]",40.18360894738784
12,"[252, 276, 276, 282, 282, 282]",40.45429690572239
13,"[252, 270, 276, 282, 282, 282]",40.36682570728259
14,"[252, 270, 276, 282, 282, 276]",40.33106082113842
15,"[252, 264, 276, 282, 282, 276]",40.298893245067916
16,"[252, 264, 276, 282, 282, 270]",40.2116940948371
17,"[252, 264, 276, 276, 282, 270]",40.73336615014749
18,"[252, 264, 270, 276, 282, 270]",41.01571853291343
19,"[252, 264, 264, 276, 282, 270]",41.214686973293816
20,"[252, 264, 258, 276, 282, 270]",41.18365003843321
21,"[246, 264, 258, 276, 282, 270]",41.154308449306974
22,"[246, 258, 258, 276, 282, 270]",41.210418372026915
23,"[246, 252, 258, 276, 282, 270]",40.83939996439275
24,"[240, 252, 258, 276, 282, 270]",40.92217418915494
25,"[234, 252, 258, 276, 282, 270]",41.21103999089611
26,"[228, 252, 258, 276, 282, 270]",41.08550661910176
27,"[222, 252, 258, 276, 282, 270]",41.41614260861866
28,"[216, 252, 258, 276, 282, 270]",41.40703936877728
29,"[216, 252, 258, 276, 276, 270]",41.31077810006683
30,"[216, 252, 258, 270, 276, 270]",41.35113052859033
31,"[216, 252, 258, 270, 276, 264]",40.63610378273847
