Method,Layer,Tile Size,Steps,MSE,Memory Footprint (Bytes),Compression Ratio,BLEU Score,Character F-score
Single,0,64,1,0.0030388040468096733,99120.0,31.736561743341404,42.087202605369676,0
Single,0,64,2,0.002847683383151889,198240.0,15.868280871670702,41.28814550292528,0
Single,0,64,3,0.0026713514234870672,297360.0,10.578853914447135,41.69401538314,0
Single,0,64,4,0.0025068549439311028,396480.0,7.934140435835351,41.602047684273344,0
Single,0,64,5,0.0023527767043560743,495600.0,6.3473123486682805,41.51354959030654,0
Single,0,64,6,0.0022083378862589598,594720.0,5.289426957223568,41.21738972704285,0
Single,0,64,7,0.002071896567940712,693840.0,4.533794534763058,40.85234443149994,0
Single,0,64,8,0.0019431347027420998,792960.0,3.9670702179176756,41.37682059897447,0
Single,0,64,9,0.0018213107250630856,892080.0,3.526284638149045,40.87129935018978,0
Single,0,64,10,0.0017060432583093643,991200.0,3.1736561743341403,41.17493923238105,0
Single,1,64,1,0.002267798874527216,99120.0,31.736561743341404,34.06426871587239,0
Single,1,64,2,0.002092555398121476,198240.0,15.868280871670702,33.95671580848686,0
Single,1,64,3,0.0019413919653743505,297360.0,10.578853914447135,35.22831167234777,0
Single,1,64,4,0.001807448803447187,396480.0,7.934140435835351,35.90939333879036,0
Single,1,64,5,0.00168504542671144,495600.0,6.3473123486682805,35.87833207215083,0
Single,1,64,6,0.0015722594689577818,594720.0,5.289426957223568,36.67767417405995,0
Single,1,64,7,0.0014676855644211173,693840.0,4.533794534763058,37.5226150890484,0
Single,1,64,8,0.0013696069363504648,792960.0,3.9670702179176756,38.3445324102462,0
Single,1,64,9,0.0012781185796484351,892080.0,3.526284638149045,39.02112817466781,0
Single,1,64,10,0.0011924350401386619,991200.0,3.1736561743341403,39.76609218738461,0
