BLEU Score,Steps,Compression Ratio
41.956736250831966,"[19, 17, 27, 27, 33, 33]",0.17590841682156447
41.67526110714343,"[19, 17, 27, 27, 33, 33]",0.21027031362797785
41.72291436136793,"[19, 17, 27, 27, 33, 33]",0.2107357228605728
41.41052441034929,"[19, 17, 27, 27, 33, 33]",0.21120319692339093
41.60922151970368,"[19, 17, 27, 27, 33, 33]",0.2116727495881916
41.4440954917779,"[19, 17, 27, 27, 33, 33]",0.21214439474947802
41.644382919674314,"[19, 17, 27, 27, 33, 33]",0.21261814642586785
40.91026830814548,"[19, 17, 27, 27, 33, 33]",0.2649516038285701
41.33181788185594,"[19, 17, 27, 27, 33, 33]",0.3514591396215622
41.38960914630526,"[19, 17, 27, 27, 33, 33]",0.5218422990915907
41.3818073041228,"[19, 17, 27, 27, 33, 33]",0.5247182689805641
41.477624868138165,"[19, 17, 27, 27, 33, 33]",0.5276261145513952
41.36890408994245,"[19, 17, 27, 27, 33, 33]",0.5305663686962389
41.207197242099284,"[19, 17, 27, 27, 33, 33]",0.5335395762522134
41.33126621094562,"[19, 17, 27, 27, 33, 33]",0.536546294337975
41.00267009779382,"[19, 17, 27, 27, 33, 33]",0.5395870927017365
40.81766227774326,"[19, 17, 27, 27, 33, 33]",0.542662554081189
40.64924493530553,"[19, 17, 27, 27, 33, 33]",0.5457732745758007
40.29701292159045,"[19, 17, 27, 27, 33, 33]",0.5489198640319958
40.621033719786766,"[19, 17, 27, 27, 33, 33]",1.1201139438826377
40.514121197363686,"[19, 17, 27, 27, 33, 33]",1.1334486336907645
40.774111000986395,"[19, 17, 27, 27, 33, 33]",1.147104641325593
40.85797211438933,"[19, 17, 27, 27, 33, 33]",1.1610937223173685
40.931755778619404,"[19, 17, 27, 27, 33, 33]",1.1754282127163482
40.62899784364923,"[19, 17, 27, 27, 33, 33]",1.1901210653753027
40.30824216273514,"[19, 17, 27, 27, 33, 33]",1.2051858889876483
40.10513366081188,"[19, 17, 27, 27, 33, 33]",1.2206369901285155
